,Run Information,,,,,,,,,Bins,,,,,
Run Number(s),# Runs,Sample,Phase Shifter,Harmonics,Ref,SLU,Scan Range,Good Data?,Notes,"Total         Grouped by State (X,B,C)",X State,A State,B State,C State,Other
1114-1138,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,,"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
1140,1,He,x,"8,10,12",x,OFF,x,,,,,,,,
1142-1167,25,He,6,"8,10,12",8,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,exclude 1148,"bins=[[5853,5864],[6282,6306]]",,,,,"[[5853,5864],[6282,6306]]"
1168-1193,25,He,4,"8,10,12",12,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,exclude 1175,"bins=[[5853,5864],[6282,6306]]",,,,,"[[5853,5864],[6282,6306]]"
1194-1218,25,He,6,"8,10,12",8,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,,"bins=[[5853,5864],[6282,6306]]",,,,,"[[5853,5864],[6282,6306]]"
1219,1,Ne,x,"8,10,12",x,OFF,x,,,"bins = [[5857,5879],[6306,6339]]",,,,,"[[5857,5879],[6306,6339]]"
1220-1246,25,Ne,6,"8,10,12",8,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,exclude 1221 & 1244,"bins = [[5857,5879],[6306,6339]]",,,,,"[[5857,5879],[6306,6339]]"
1310-1335,25,Ne,6,"8,10,12",8,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,exclude 1313,"bins = [[5860,5880],[6320,6350]]",,,,,"[[5860,5880],[6320,6350]]"
1336-1361,25,Ne,4,"8,10,12",12,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",,exclude 1358,"bins = [[5860,5880],[6320,6350]]",,,,,"[[5860,5880],[6320,6350]]"
1362,1,Ne,x,"8,10,12",x,OFF,x,,,"bins = [[5860,5880],[6320,6350]]",,,,,"[[5860,5880],[6320,6350]]"
1373,1,CO2,x,"8,10,12",x,OFF,x,,,"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
1376-1400,25,CO2,4,"8,10,12",12,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",BAD,,"bins = [[5833,5861],[6230,6295],[5933,5980],[6700,6900],[6005,6055],[7300,7550]]","[[5833,5861],[6230,6295]]",,"[[5933,5980],[6700,6900]]","[[6005,6055],[7300,7550]]",
1442-1466,25,CO2,6,"8,10,12",8,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",GOOD,,"bins = [[5833,5861],[6230,6295],[5933,5980],[6700,6900],[6005,6055],[7300,7550]]","[[5833,5861],[6230,6295]]",,"[[5933,5980],[6700,6900]]","[[6005,6055],[7300,7550]]",
1467-1491,25,CO2,6,"8,10,12",8,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",GOOD,,"bins = [[5833,5861],[6230,6295],[5933,5980],[6700,6900],[6005,6055],[7300,7550]]","[[5833,5861],[6230,6295]]",,"[[5933,5980],[6700,6900]]","[[6005,6055],[7300,7550]]",
1492-1516,25,CO2,6,"8,10,12",8,ON,"2.10:0.55:-0.125, 0.6625:2.0375:0.125",BAD,,"bins = [[5833,5861],[6230,6295],[5933,5980],[6700,6900],[6005,6055],[7300,7550]]","[[5833,5861],[6230,6295]]",,"[[5933,5980],[6700,6900]]","[[6005,6055],[7300,7550]]",
